P,A
8.95,36.32703081
5.05,36.32703081
16.52,36.32703081
16.5,36.32703081
16.32,36.32703081
18.28,36.32703081
17.47,36.32703081
11.38,36.32703081
4.97,36.32703081
19.18,36.32703081
20.81,36.32703081
20.51,36.32703081
20.76,36.32703081
20.61,36.32703081
12.81,36.32703081
23.36,36.32703081
20.72,36.32703081
21.39,36.32703081
25.85,36.32703081
23.54,36.32703081
24.84,36.32703081
15.5,36.32703081
11.67,36.32703081
24.33,36.32703081
25.53,36.32703081
27.91,36.32703081
27.03,36.32703081
27.07,36.32703081
13.35,36.32703081
14.04,36.32703081
28.95,36.32703081
23.65,36.32703081
27.31,36.32703081
22.4,36.32703081
25.23,36.32703081
18.49,36.32703081
9.38,36.32703081
18.97,36.32703081
20.98,36.32703081
22.27,36.32703081
20.63,36.32703081
19.79,36.32703081
19.47,36.32703081
18.75,36.32703081
18.78,36.32703081
23.2,36.32703081
23.33,36.32703081
23.21,36.32703081
22.93,36.32703081
22.81,36.32703081
22.78,36.32703081
22.79,36.32703081
22.88,36.32703081
22.99,36.32703081
22.96,36.32703081
22.92,36.32703081
22.88,36.32703081
22.88,36.32703081
22.89,36.32703081
22.9,36.32703081
22.91,36.32703081
22.92,36.32703081
22.91,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
22.9,36.32703081
