totalAgents,age,atsi,disability,essentialCount,workerCount,phase,subPhase,spanMult,gatherFreqMult,region,succeptibleMult,asymptomPropMult,vaccinatedCount,doesProgressMax,doesProgressMin,ignoreUptakeBoost,studentCount,vaccineType,vaccineBranch,uptake,wane_1,wane_2,wane_3,baseMort,baseHosp,vacMortLnOddChange,vacHospLnOddChange,comment
99,5,0,0,0,0,6,1,1,1,1,0.5,2,0,4,0,1,0,vac_0,NA,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Age 0 to 4
99,5,0,0,0,0,6,1,1,1,1,0.5,2,0,4,0,1,99,vac_0,U5,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Ages 5 to 9
41,15,0,0,0,0,6,1,1,1,1,0.5,2,0,4,0,1,41,vac_0,U5,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Ages 10 and 11
122,15,0,0,0,0,6,1,1,1,1,0.5,2,0,4,0,1,122,vac_0,U12,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Ages 12 to 17
40,15,0,0,0,0,6,1,1,1,1,0.5,2,0,4,0,1,40,vac_0,U18,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Ages 18 and 19
152,25,0,0,0,101,5,1,1,1,1,1,1,0,4,0,0,0,vac_0,U18,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Urban
9,35,0,0,9,9,1,1,1,1,1,1,1,2,4,0,0,0,vac_0,U18,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Frontline workers
99,35,0,0,0,66,4,1,1,1,1,1,1,0,4,0,0,0,vac_0,U18,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Urban
73,45,0,0,0,49,3,1,1,1,1,1,1,0,4,0,0,0,vac_0,U18,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Urban
66,55,0,0,0,44,2,1,1,1,1,1,1,0,4,0,0,0,vac_0,U18,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Urban
20,65,0,0,0,13,2,1,1,1,1,1,1,0,4,0,0,0,vac_60,U60,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Ages 60 to 64
15,65,0,0,0,10,1,2,1,1,1,1,1,0,4,0,0,0,vac_60,U60,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Ages 65 to 69
18,75,0,0,0,12,1,2,1,1,1,1,1,0,4,0,0,0,vac_60,U60,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Urban
5,85,0,0,0,0,1,2,1,1,1,1,1,0,4,0,0,0,vac_60,U60,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Urban
12,25,0,0,0,4,6,1,1,1,1,1,1,0,4,0,0,0,vac_0,U18,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Pregnant Urban
8,35,0,0,0,3,6,1,1,1,1,1,1,0,4,0,0,0,vac_0,U18,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Pregnant Urban
4,45,0,0,0,1,6,1,1,1,1,1,1,0,4,0,0,0,vac_0,U18,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Pregnant Urban
234,5,0,0,0,0,6,1,1,1,2,0.5,2,0,4,0,1,0,vac_0,NA,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Age 0 to 4
234,5,0,0,0,0,6,1,1,1,2,0.5,2,0,4,0,1,234,vac_0,R5,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Ages 5 to 9
72,15,0,0,0,0,6,1,1,1,2,0.5,2,0,4,0,1,361,vac_0,R5,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Ages 10 and 11
217,15,0,0,0,0,6,1,1,1,2,0.5,2,0,4,0,1,217,vac_0,R12,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Ages 12 to 17
72,15,0,0,0,0,6,1,1,1,2,0.5,2,0,4,0,1,72,vac_0,R18,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Ages 18 and 19
221,25,0,0,0,147,5,1,1,1,2,1,1,0,4,0,0,0,vac_0,R18,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Rural
16,35,0,0,16,16,1,1,1,1,2,1,1,2,4,0,0,0,vac_0,R18,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Frontline workers
168,35,0,0,0,112,4,1,1,1,2,1,1,0,4,0,0,0,vac_0,R18,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Rural
116,45,0,0,0,77,3,1,1,1,2,1,1,0,4,0,0,0,vac_0,R18,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Rural
108,55,0,0,0,72,2,1,1,1,2,1,1,0,4,0,0,0,vac_0,R18,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Rural
41,65,0,0,0,27,2,1,1,1,2,1,1,0,4,0,0,0,vac_60,R60,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Ages 60 to 64
28,65,0,0,0,19,1,2,1,1,2,1,1,0,4,0,0,0,vac_60,R60,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Ages 65 to 69
34,75,0,0,0,23,1,2,1,1,2,1,1,0,4,0,0,0,vac_60,R60,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Rural
10,85,0,0,0,0,1,2,1,1,2,1,1,0,4,0,0,0,vac_60,R60,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Rural
24,25,0,0,0,8,6,1,1,1,2,1,1,0,4,0,0,0,vac_0,R18,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Pregnant Rural
15,35,0,0,0,5,6,1,1,1,2,1,1,0,4,0,0,0,vac_0,R18,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Pregnant Rural
8,45,0,0,0,3,6,1,1,1,2,1,1,0,4,0,0,0,vac_0,R18,1,0.005,0.005,0.005,0.1,0.1,0.1,0.1,Pregnant Rural
