,Mnth,1,2,3,4,5,6,7,8,9,10,11,12,13
Urban,60+ double vacc'ed,8,0,0,0,0,,,,,,,,
,18-59 double vacc'ed,62,66,4,0,0,,,,,,,,
,12-17 double vacc'ed,7,7,7,17,39,,,,,,,,
,5-11 double vacc'ed,,,,,,,,,,,,,
,60+ booster - one shot,,,,,,,,,,,,,
,18 to 59 booster - one shot,,,,,,,,,,,,,
Rural,60+ double vacc'ed,10,10,10,1,0,,,,,,,,
,18-59 double vacc'ed,72,75,76,128,0,,,,,,,,
,12-17 double vacc'ed,8,9,9,19,101,,,,,,,,
,5-11 double vacc'ed,0,0,0,0,0,,,,,,,,
,60+ booster - one shot,0,0,0,0,0,,,,,,,,
,18 to 59 booster - one shot,0,0,0,0,0,,,,,,,,
