,Mnth,1,2,3,4,5,6,7,8,9,10,11,12,13
Urban,60+ double vacc'ed,2,2,2,2,0,0,0,0,0,0,0,0,0
,18-59 double vacc'ed,26,26,26,26,28,0,0,0,0,0,0,0,0
,12-17 double vacc'ed,15,15,15,15,17,0,0,0,0,0,0,0,0
,5-11 double vacc'ed,0,0,0,0,0,,,,,,,0,0
,60+ booster - one shot,0,0,0,0,0,5,5,6,5,5,6,0,0
,18 to 59 booster - one shot,0,0,0,0,0,35,35,36,35,35,36,0,0
Rural,60+ double vacc'ed,6,6,6,6,7,0,0,0,0,0,0,0,0
,18-59 double vacc'ed,70,70,70,70,71,0,0,0,0,0,0,0,0
,12-17 double vacc'ed,29,29,29,29,30,0,0,0,0,0,0,0,0
,5-11 double vacc'ed,0,0,0,0,0,,,,,,,0,0
,60+ booster - one shot,0,0,0,0,0,9,9,9,9,9,9,0,0
,18 to 59 booster - one shot,0,0,0,0,0,60,60,60,60,60,61,0,0
