name,reduceInfect,reduceRisk,reduceSympt,reduceHosp,reduceIcu,reduceMort,vacEffectDays,waneLnOdds,waneOut,baseName
cur_2,1,1,1,1,1,1,1,1,1,cur_2
cur_3,1,1,1,1,1,1,1,1,1,cur_3
target,1.414,1.414,1.414,1.414,1.414,1.414,1,1,1,cur_2
multi,2,2,2,2,2,2,1,1,1,cur_2
cur_2_60,1,1,1,1,1,1,1,1,1,cur_2_60
cur_3_60,1,1,1,1,1,1,1,1,1,cur_3_60
target_60,1.414,1.414,1.414,1.414,1.414,1.414,1,1,1,cur_3_60
multi_60,2,2,2,2,2,2,1,1,1,cur_3_60
cur_2_70,1,1,1,1,1,1,1,1,1,cur_2_70
cur_3_70,1,1,1,1,1,1,1,1,1,cur_3_70
target_70,1.414,1.414,1.414,1.414,1.414,1.414,1,1,1,cur_3_70
multi_70,2,2,2,2,2,2,1,1,1,cur_3_70
base_post,1,1,1,1,1,1,1,1,1,recover
omlike_post,1,1,1,1,1,1,1,1,1,recover
novel_post,1,1,1,1,1,1,1,1,1,recover
omlike_high_post,1,1,1,1,1,1,1,1,1,recover
novel_high_post,1,1,1,1,1,1,1,1,1,recover
omlike_escape_post,1,1,1,1,1,1,1,1,1,recover
novel_escape_post,1,1,1,1,1,1,1,1,1,recover
omlike_escape_high_post,1,1,1,1,1,1,1,1,1,recover
novel_escape_high_post,1,1,1,1,1,1,1,1,1,recover
base_post_60,1,1,1,1,1,1,1,1,1,recover_60
omlike_post_60,1,1,1,1,1,1,1,1,1,recover_60
novel_post_60,1,1,1,1,1,1,1,1,1,recover_60
omlike_high_post_60,1,1,1,1,1,1,1,1,1,recover_60
novel_high_post_60,1,1,1,1,1,1,1,1,1,recover_60
omlike_escape_post_60,1,1,1,1,1,1,1,1,1,recover_60
novel_escape_post_60,1,1,1,1,1,1,1,1,1,recover_60
omlike_escape_high_post_60,1,1,1,1,1,1,1,1,1,recover_60
novel_escape_high_post_60,1,1,1,1,1,1,1,1,1,recover_60
base_post_70,1,1,1,1,1,1,1,1,1,recover_70
omlike_post_70,1,1,1,1,1,1,1,1,1,recover_70
novel_post_70,1,1,1,1,1,1,1,1,1,recover_70
omlike_high_post_70,1,1,1,1,1,1,1,1,1,recover_70
novel_high_post_70,1,1,1,1,1,1,1,1,1,recover_70
omlike_escape_post_70,1,1,1,1,1,1,1,1,1,recover_70
novel_escape_post_70,1,1,1,1,1,1,1,1,1,recover_70
omlike_escape_high_post_70,1,1,1,1,1,1,1,1,1,recover_70
novel_escape_high_post_70,1,1,1,1,1,1,1,1,1,recover_70
