Name	Location	Unused	Importance	Description
rand_seed	1			The model is deterministic once a seed is set.
param_incur_phase_limit	2			The model will progress until this phase of incursion and stick in this phase forever.
param_vacIncurMult	3			Multiplier to the number of vaccinated incursions per day.
param_final_phase	4			The model with progress until this phase of vaccination.
policy_switch	5			Switches between different policy and stage files. Used to keep the codebase the same across reparameterisation of stages and policies.
param_vac_uptake_mult	6			Multiplier to vaccination uptake. Other multipliers are found per-cohort in the population table and per-phase in the vaccine rollout table.
param_vac_rate_mult	7			Multiplier to vaccination rate. Applies to the vaccine dose table.
param_policy	8			The current policy. May be a fixed stage or a dynamic policy.
param_trigger_loosen	9	y		Was a parameter for relaxing policy case numbers.
vaccine_availible	10			Whether vaccination exists in the model.
param_policy_force_preset	11			
param_policy_force_days	12			
param_policy_force_stage	13			
param_stage1_time	14			
policy_pipeline	15			
policy_pipe_time	16			
Population	17			
pop_mult	18			
sensitivity	19			
initial_cases	20			
initial_primary_prop	21			
total_population	22			
preSimDailyCases	23			
min_stage	24			
max_stage	25			
print_vac	26			
print_phase	27			
first_case_calibrate	28			
compound_input	29			
compound_param	30			
calibrate_stage_switch	31			
stage_test_index	32			
calibrate	33			
profile_on	34			
set_shape	35			
r0_range	36			
global_transmissibility	37			
global_trans_std	38			
trans_draw_min	39			
trans_draw_max	40			
reinfect_area	41			
reinfect_risk	42			
reinfect_delay	43			
Asymptomatic_Trans	44			
Asymptom_Prop	45			
init_trace_prop	46			
sympt_present_prop	47			
self_iso_at_peak	48			
incursion_phase_speed_mult	49			
recovered_match_rate	50			
asymptom_trace_mult	51			
pre_present_iso	52			
case_reporting_delay	53			
non_infective_time	54			
compount_essential	55			
ess_w_risk_reduction	56			
ess_radius_anchor	57			
ess_spread_anchor	58			
avoid_essential	59			
compound_mask_param	60			
minMaskWearing	61			
mask_efficacy_mult	62			
end_day	63			
end_r_reported	64			
report_proportion	65			
count_incursion	66			
init_timenow_limit	67			
incur_timenow_limit	68			
house_resample_red_group	69			
house_resample_scale_up	70			
house_init_group	71			
span	72			
mask_wearing	73			
schoolsOpen	74			
maskPolicy	75			
tracking	76			
age_isolation	77			
proportion_people_avoid	78			
proportion_time_avoid	79			
complacency_bound	80			
essential_workers	81			
superspreaders	82			
visit_frequency	83			
visit_radius	84			
isolate_on_inf_notice	85			
cont_stage	86			
track_r	87			
scale	88			
param_force_vaccine	89			
success_14day_cases	90			
trace_calibration	91			
track_slope	92			
scale_threshold	93			
scale_factor	94			
hetro_mult	95			
daily_infect_binom	96			
input_population_tabpe	97			
input_vaccine_table	98			
input_dose_rate_table	99			
data_suffix	100			
data_suffix_2	101			
suffix_rloout	102			
trace_print	103			
compound_trace	104			
trace_at_1	105			
trace_at_5	106			
trace_assymtote	107			
param_trace_mult	108			
trace_eff_override	109			
trace_attempt_limit	110			
isoComply_override	111			
isolation_transmission	112			
household_iso_factor	113			
track_iso_factor	114			
infect_iso_factor	115			
accept_isolation_prop	116			
vac_trans_mult	117			
site_iso_prop	118			
site_iso_max_day	119			
initial_variant_2_prop	120			
prev_var_area	121			
prev_var_risk	122			
variant_transmiss_growth	123			
recov_var_match_rate	124			
vac_variant_eff_prop	125			
param_recovered_prop	126			
param_vac_wane	127			
yearly_recover_prop_loss	128			
incubation_period	129			
illness_period	130			
complacency_loss	131			
prepeak_vir_boost	132			
se_illnesspd	133			
se_incubation	134			
gather_location_count	135			
transmit_skew	136			
duration_skew	137			
global_distance_mult	138			
recover_immunity_mult	139			
param_override_ve	140			
print_contact_events	141			
always_spread	142			
pipe_end_override	143			
rat_prop	144			
rat_day_max	145			
vacType_override	146			
reduceStageFour	147			
gather_loc_trans_red	148			
mask_wear_boost	149			
draw_ppa_modifier	1001			
draw_pta_modifier	1002			
draw_isolationCompliance	1003			
draw_maskWearEfficacy	1004			
draw_vacc_death_risk_mult	1005			
draw_borderIncursionRisk	1006			
IGNORE_CASE_UNTIL	1007			
